node_id,node_text_normalized,node_type,mention_count
N478,tuberous sclerosis complex,gene,2
N479,fxs,disease,2
N480,mglur-ltd,disease,2
N481,rg mice,method,2
N482,mglur-ltd impairment,disease,2
N483,laboratory tests,method,2
N484,emotional distress,disease,2
N485,dyspnea,disease,2
N486,systematic and critical review,method,2
N487,alcohol dependence,disease,2
N488,glyt1,gene,2
N489,self-guided internet-based interventions,method,1
N490,history of stroke,Health_factors,1
N491,old people,Health_factors,1
N492,antidepressant fluoxetine,drug,1
N493,depressive states,disease,1
N494,olfactory functions,physiology,1
N495,history of depression,Health_factors,1
N496,multivariate-adjusted hazard ratio,method,1
N497,stroke,disease,1
N498,selective serotonin reuptake inhibitor,drug,1
N499,escitalopram,drug,1
N500,sleep anomalies,disease,1
N501,anhedonia,disease,1
N502,helplessness,disease,1
N503,chronic antidepressant treatment,method,1
N504,acute stress,physiology,1
N505,serotoninergic autoinhibitory feedback,physiology,1
N506,depressive and manic mixed states,disease,1
N507,quantitative measurement,method,1
N508,bipolar mixed states,disease,1
N509,dsm-iv criteria,method,1
N510,combined depressive and manic syndromes,disease,1
N511,depressive and manic features,symptom,1
N512,dsm-iv,method,1
N513,mixed state index,method,1
N514,manic and depressive mixed states,disease,1
N515,kraepelinian mixed states,disease,1
N516,manic,disease,1
N517,mania,disease,1
N518,discriminant function analysis,method,1
N519,hyperactivity,disease,1
N520,negative cognitions,physiology,1
N521,subjective depressive,disease,1
N522,elevated mood,disease,1
N523,depressive or manic episodes,disease,1
N524,depressive and manic symptoms,disease,1
N525,depressive or manic episode,disease,1
N526,flavonoids,drug,1
N527,flavonols,drug,1
N528,flavones,drug,1
N529,flavanones,drug,1
N530,anthocyanins,drug,1
N531,flavan-3-ols,drug,1
N532,polymeric flavonoids,drug,1
N533,proanthocyanidins,drug,1
N534,validated food-frequency questionnaires,method,1
N535,physician - or clinician-diagnosed,Health_factors,1
N536,antidepressant use,Health_factors,1
N537,rapid-acting antidepressants,drug,1
N538,pharmacotherapies,method,1
N539,antidepressant therapies,method,1
N540,environmental events,Health_factors,1
N541,molecular and cellular mechanisms,physiology,1
N542,neuronal function,physiology,1
N543,dysfunction of the circuitry,disease,1
N544,mood regulation,physiology,1
N545,synaptic deficits,disease,1
N546,patient-directed music intervention,method,1
N547,mechanical ventilatory support,Health_factors,1
N548,sedative medications,drug,1
N549,self-initiated patient-directed music,method,1
N550,intensive care units,Health_factors,1
N551,icus,Health_factors,1
N552,respiratory failure,disease,1
N553,white,Health_factors,1
N554,acute physiology,method,1
N555,chronic health evaluation iii,method,1
N556,interventions self-initiated pdm,method,1
N557,self-initiated pdm,method,1
N558,music therapist,Health_factors,1
N559,daily assessments,method,1
N560,visual analog scale,method,1
N561,mixed-models analysis,method,1
N562,pdm,Health_factors,1
N563,pdm,disease,1
N564,sedation intensity,signs,1
N565,cognitive bias modification interventions,method,1
N566,cognitive bias modification,method,1
N567,cognitive bias modification ( cbm ) therapies,method,1
N568,interpretation bias modification,method,1
N569,avoidance training,method,1
N570,mechanistically derived treatments,method,1
N571,anxious and depressive symptomatology,disease,1
N572,cochrane central register,method,1
N573,diagnostic interview,method,1
N574,validated clinical scale,method,1
N575,non-cbm active intervention,method,1
N576,cochrane collaboration tool,method,1
N577,validated clinical scales,method,1
N578,smds,method,1
N579,restricted maximum likelihood random effects model,method,1
N580,anxiety trials,method,1
N581,sham training,method,1
N582,post-hoc sensitivity analyses,method,1
N583,post-traumatic stress disorder trials,method,1
N584,depression trials,method,1
N585,"complex , heterogeneous behavioural and cognitive syndrome",disease,1
N586,disruption of brain development,physiology,1
N587,genetic or environmental factors,Health_factors,1
N588,dysfunction of dopaminergic neurotransmission,disease,1
N589,genesis,gene,1
N590,brain areas,region,1
N591,disturbances of synaptic function,physiology,1
N592,synaptic function,physiology,1
N593,abnormalities of neuronal connectivity,disease,1
N594,interneurons,region,1
N595,antipsychotic drugs combined with psychological therapies,method,1
N596,social support,Health_factors,1
N597,genomics,method,1
N598,neuroscience,method,1
N599,opportunities,Health_factors,1
N600,human gut microbiota,Health_factors,1
N601,behavioral symptoms,disease,1
N602,complex human behaviors,Health_factors,1
N603,social communication,Health_factors,1
N604,stereotypies,Health_factors,1
N605,genetic risks,gene,1
N606,gut microbiome,Health_factors,1
N607,td,disease,1
N608,microbiome,Health_factors,1
N609,human donors,Health_factors,1
N610,td,physiology,1
N611,germ-free mice,method,1
N612,autistic behaviors,disease,1
N613,asd microbiota,Health_factors,1
N614,asd-relevant genes,gene,1
N615,microbiome and metabolome profiles,physiology,1
N616,human microbiota,Health_factors,1
N617,metabolites,drug,1
N618,asd mouse model,method,1
N619,microbial metabolites,drug,1
N620,behavioral abnormalities,disease,1
N621,neuronal excitability,physiology,1
N622,neuroactive metabolites,drug,1
N623,gut-brain connections,region,1
N624,animal models research,method,1
N625,seasonal affective disorder,disease,1
N626,circadian clock genes,gene,1
N627,sleep disorders,disease,1
N628,sleep deprivation,disease,1
N629,bright light exposure,Health_factors,1
N630,antidepressant drugs,drug,1
N631,drug taste,Health_factors,1
N632,cancer chemotherapy,method,1
N633,cytotoxic chemotherapy,method,1
N634,posttreatment nausea,disease,1
N635,tastes of drugs,Health_factors,1
N636,chemotherapy,method,1
N637,spectral fingerprints,method,1
N638,facial affect processing bias,signs,1
N639,processing of facial affect,physiology,1
N640,negative emotion,physiology,1
N641,positive emotion,physiology,1
N642,neuronal,region,1
N643,facial affect judgment task,method,1
N644,magnetoencephalography,method,1
N645,slower response times,symptom,1
N646,hc,method,1
N647,less somatosensory beta activity,physiology,1
N648,somatosensory beta activity,physiology,1
N649,visual gamma activity,physiology,1
N650,frontal gamma activity,physiology,1
N651,positive facial expression judgment,physiology,1
N652,depression severity,signs,1
N653,spatio-spectral manifestations,symptom,1
N654,aberrant pathways,physiology,1
N655,facial emotion processing,physiology,1
N656,fns treatment,method,1
N657,depressive-like behaviors,disease,1
N658,rcbf,physiology,1
N659,psd rats model,method,1
N660,cerebellar purkinje cells,region,1
N661,mrna,gene,1
N662,inflammatory cytokines,gene,1
N663,rct,method,1
N664,video-based transdiagnostic intervention fitmindkit,method,1
N665,attention-matched control condition,method,1
N666,healthwatch,Health_factors,1
N667,ndp,drug,1
N668,machine learning,method,1
N669,morbidity,disease,1
N670,diagnostic biomarkers,signs,1
N671,bd,disease,1
N672,early depressive episode,disease,1
N673,translational biomarkers,signs,1
N674,machine learning,physiology,1
N675,machine-learning methods,method,1
N676,brain imaging classification,method,1
N677,magnetic resonance imaging,method,1
N678,magnetic resonance imaging data,method,1
N679,mdds,disease,1
N680,treatment outcome,Health_factors,1
N681,neuroimaging,method,1
N682,clinical care,method,1
N683,comparative analysis,method,1
N684,gamma-aminobutyric acid,drug,1
N685,bipolar depressive disorder,disease,1
N686,glu,drug,1
N687,gamma - aminobutyric acid,drug,1
N688,- aminobutyric acid,drug,1
N689,depressive episodes,disease,1
N690,bipolar depressive episode,disease,1
N691,hamd-17,method,1
N692,hamilton anxiety scale,method,1
N693,hama,method,1
N694,"serum levels of glu , gaba",signs,1
N695,glu decarboxylase,gene,1
N696,gad,gene,1
N697,enzyme-linked immunosorbent assay,method,1
N698,elisa,method,1
N699,serum glu level,signs,1
N700,glu / gaba ratio,signs,1
N701,gad,disease,1
N702,glu / gaba,drug,1
N703,serum gaba,drug,1
N704,hamd sleep disorder factor,Health_factors,1
N705,glu,gene,1
N706,peripheral blood circulation,region,1
N707,alleles of copy-number variants,gene,1
N708,dysfunction,disease,1
N709,manifest disease,disease,1
N710,fecundity,physiology,1
N711,population controls,method,1
N712,cognitive deficits,disease,1
N713,chromosome 15q11 . 2 deletion,gene,1
N714,breakpoints 1 and 2,gene,1
N715,history of dyslexia,Health_factors,1
N716,iq,signs,1
N717,cognitive traits,symptom,1
N718,brain structure,region,1
N719,first-episode psychosis,disease,1
N720,dyslexia,disease,1
N721,older americans,Health_factors,1
N722,nshap,Health_factors,1
N723,social isolation,Health_factors,1
N724,isolation,Health_factors,1
N725,social disconnectedness,Health_factors,1
N726,small social network,Health_factors,1
N727,social interaction,Health_factors,1
N728,perceptions of social isolation,Health_factors,1
N729,lack of support,Health_factors,1
N730,depression symptom,disease,1
N731,community-residing older adults,Health_factors,1
N732,"national social life , health , and aging project",method,1
N733,nshap,method,1
N734,structural equation modelling,method,1
N735,longitudinal path models,method,1
N736,reverse pathways,physiology,1
N737,social network structure and function,Health_factors,1
N738,public health initiatives,Health_factors,1
N739,social network integration,Health_factors,1
N740,community activities,Health_factors,1
N741,affective disorders,disease,1
N742,google,method,1
N743,yahoo,method,1
N744,interactive web-based interventions,method,1
N745,amygdala,region,1
N746,lbs,signs,1
N747,guided i-rfcbt,method,1
N748,molecular genetic liability,physiology,1
N749,eugei study,method,1
